official_contest_name,in_group,ex_group,original_cvr_header,ballot_contest_name,bmd_contest_name,vote_for,writein_num,official_options,description
Cast Vote Record,,,Cast Vote Record,,,,,,
Precinct,,,Precinct,,,,,,
Ballot Style,,,Ballot Style,,,,,,
Justice of the Supreme Court,,,Justice of the Supreme Court,"Justice of the Supreme Court
Vote for 1",JUSTICE OF THE SUPREME COURT,,,"Brian Hagedorn, Lisa Neubauer ",
Court of Appeals Judge District IV,,,"Court of Appeals Judge, District IV","Court of Appeals Judge, District IV
Vote for 1",COURT OF APPEALS JUDGE DISTRICT IV,,,Jennifer Nashold,
Circuit Court Judge Branch 16,,,"Circuit Court Judge, Branch 16","Circuit Court Judge, Branch 16
Vote for 1",CIRCUIT COURT JUDGE BRANCH 16,,,Rhonda L. Lanford,
"Circuit Court Judge, Branch 1 Jefferson County",,,"Circuit Court Judge, Branch 1 Jefferson County","Circuit Court Judge, Branch 1",,,,Will Gruber,
"Circuit Court Judge, Branch 2 Jefferson County",,,"Circuit Court Judge, Branch 2 Jefferson County","Circuit Court Judge, Branch 2",,,,William F. Hue,
County Supervisor District 14 (1-year term),,1,"County Supervisor, District 14 (1-year term) District 14","County Supervisor, District 14
(1-year term)
Vote for 1",COUNTY SUPERVISOR DISTRICT 14 (1YEAR TERM) DISTRICT,,,Huong Nguyen-Hilfiger,
County Supervisor District 36 (1-year term),,1,"County Supervisor, District 36 (1-year term) District 36","County Supervisor, District 36
(1-year term)
Vote for 1",COUNTY SUPERVISOR DISTRICT 36 (1YEAR TERM) DISTRICT,,,Melissa Ratcliff,
Municipal Judge - Twns of Blooming Grove Bristol etc.,,2,"Municipal Judge for the Towns of Blooming Grove, Bristol, Burke, Sun Prairie, Westport and Village of Dane","Municipal Judge for the Towns
of Blooming Grove, Bristol, 
Burke, Sun Prairie, Westport and
Village of Dane
Vote for 1",MUNICIPAL JUDGE FOR THE TOWNS OF BLOOMING GROVE BRIST,,,Dennis J. Sieg,
Municipal Judge - Towns of Madison Middleton Verona,,2,"Municipal Judge for the Towns of Madison, Middleton and Verona","Municipal Judge for the Towns
of Madison, Middleton and
Verona
Vote for 1",,,,Todd E. Meurer,
Municipal Judge - Twn of Roxbury Vil. of Sauk City etc,,2,Municipal Judge for the Town of Roxbury and Villages of Sauk City and Prairie du Sac,"Municipal Judge for the Town of
Roxbury and Villages of Sauk
City and Prairie du Sac
Vote for 1",,,,(no candidate),
Municipal Judge - Town and Village of Oregon,,2,Municipal Judge for the Town and Village of Oregon,"Municipal Judge for the Town 
and Village of Oregon 
Vote for 1",MUNICIPAL JUDGE FOR THE TOWN AND VILLAGE OF OREGON,,,Beth L. Cox,
Municipal Judge - Villages of Black Earth and Mazomanie,,2,Municipal Judge for the Villages of Black Earth and Mazomanie,"Municipal Judge for the 
Villages of Black Earth and 
Mazomanie
Vote for 1",MUNICIPAL JUDGE FOR THE VILLAGES OF BLACK EARTH AND MA,,,Isaiah W. Crowe,
Municipal Judge - Villages of Cambridge Deerfield etc.,,2,"Municipal Judge for the Villages of Cambridge, Deerfield and Rockdale","Municipal Judge for the
Villages of Cambridge, 
Deerfield and Rockdale
Vote for 1", MUNICIPAL JUDGE FOR THE VILLAGES OF CAMBRIDGE DEERFIE,,,Randi Wind Milsap,
Municipal Judge - Villages of DeForest and Windsor,,2,Municipal Judge for the Villages of DeForest and Windsor Villages of DeForest and Windsor,"Municipal Judge for the
Villages of DeForest and 
Windsor
Vote for 1",MUNICIPAL JUDGE FOR THE VILLAGES OF DEFOREST AND WINDS,,,Jason J. Hanson,
Edgerton Alderperson District 1,,,"Alderperson, District 1 C Edgerton",,,,,"Matt McIntyre, Sarah E. Braun ",
Fitchburg Mayor (1-year term),1,,Mayor(1-year term) C Fitchburg,"Mayor
(1-year term)
Vote for 1",,,,"Aaron Richardson, Jason C. Gonzalez ",
Fitchburg Alderperson District 1 Seat 1,1,,"Alderperson, District 1, Seat 1","Alderperson, District 2, Seat 1
Vote for 1",,,,"Rich Tate, Dorothy Krause ",
Fitchburg Alderperson District 1 Seat 2 (1-year term),1,,"Alderperson, District 1, Seat 2 (1-year term)","Alderperson, District 1, Seat 2
(1-year term)
Vote for 1",,,,Anne Scott,
Fitchburg Alderperson District 2 Seat 3,1,,"Alderperson, District 2, Seat 3","Alderperson, District 2, Seat 3
Vote for 1",,,,"Patrick C. Stern, Julia S. Arata-Fratta ",
Fitchburg Alderperson District 2 Seat 4 (1-year term),1,,"Alderperson, District 2, Seat 4 (1-year term)","Alderperson, District 2, Seat 4
(1-year term)
Vote for 1",,,,Dan Bahr,
Fitchburg Alderperson District 3 Seat 5,1,,"Alderperson, District 3, Seat 5","Alderperson, District 3, Seat 5
Vote for 1",,,,Sarah Schroeder,
Fitchburg Alderperson District 3 Seat 6 (1-year term),1,,"Alderperson, District 3, Seat 6 (1-year term)","Alderperson, District 3, Seat 6
(1-year term)
Vote for 1",,,,Dan Carpenter,
Fitchburg Alderperson District 4 Seat 7,1,,"Alderperson, District 4, Seat 7","Alderperson, District 4, Seat 7
Vote for 1",,,,"Tom Clauder, Matthew D. Jones ",
Fitchburg Alderperson District 4 Seat 8 (1-year term),1,,"Alderperson, District 4, Seat 8 (1-year term)","Alderperson, District 4, Seat 8
(1-year term)
Vote for 1",,,,"Ed Kinney, Janell Rice ",
Fitchburg Municipal Judge,1,,Municipal Judge C Fitchburg,"Municipal Judge
Vote for 1",,,,Hamdy A. Ezalarab,
Mayor C Madison,2,,Mayor C Madison,"Mayor
Vote for 1",MAYOR C MADISON,,,"Paul R. Soglin, Satya Rhodes-Conway ",
Madison Alderperson District 1,2,3,"Alderperson, District 1","Alderperson, District 1
Vote for 1",ALDERPERSON DISTRICT 1,,,Barbara Harrington-McKinney,
Madison Alderperson District 2,2,3,"Alderperson, District 2","Alderperson, District 2
Vote for 1",ALDERPERSON DISTRICT 2,,,"Patrick W. Heck, Jim White ",
Madison Alderperson District 3,2,3,"Alderperson, District 3","Alderperson, District 3
Vote for 1",ALDERPERSON DISTRICT 3,,,"Lindsay Lemmer, Mike Cerro ",
Madison Alderperson District 4,2,3,"Alderperson, District 4","Alderperson, District 4
Vote for 1",ALDERPERSON DISTRICT 4,,,Michael Verveer,
Madison Alderperson District 5,2,3,"Alderperson, District 5 District 5","Alderperson, District 5
Vote for 1",ALDERPERSON DISTRICT 5 DISTRICT 5,,,Shiva Bidar,
Madison Alderperson District 6,2,3,"Alderperson, District 6","Alderperson, District 6
Vote for 1",ALDERPERSON DISTRICT 6,,,Marsha A. Rummel,
Madison Alderperson District 7,2,3,"Alderperson, District 7","Alderperson, District 7
Vote for 1",ALDERPERSON DISTRICT 7,,,"Badri Lankella, Donna V. Hurd Moreland ",
Madison Alderperson District 8,2,3,"Alderperson, District 8","Alderperson, District 8
Vote for 1",ALDERPERSON DISTRICT 8,,,"Avra Reddy, Matthew Mitnick ",
