official_contest_name,in_group,ex_group,original_cvr_header,ballot_contest_name,bmd_contest_name,vote_for,writein_num,official_options,description
Cast Vote Record,,,Cast Vote Record,,,,,,
Precinct,,,Precinct,,,,,,
United States Senator,,,United States Senator,United States Senator (Vote for One),Office of US Senate,1,1,"Rick Scott, Bill Nelson ",
U. S. Representative District 2,,1,U. S. Representative District 2,Representative in Congress District 2 (Vote for One),Office of US Congr - D 2,1,0,"Neal Dunn, Bob Rackleff ",
U. S. Representative District 5,,1,U. S. Representative District 5,Representative in Congress District 5 (Vote for One),Office of US Congr - D 5,1,0,"Virginia Fuller, Al Lawson",
Governor and Lieutenant Governor,,,Governor and Lieutenant Governor,Governor and Lieutenant Governor (Vote for One),Office of Governor,1,1,"Ron DeSantis, Andrew Gillum, Darcy G. Richardson, Kyle ""KC"" Gibson, Ryan Christopher Foley, Bruce Stanley ",
Attorney General,,,Attorney General,Attorney General (Vote for One),Office of Att General,1,0,"Ashley Moody, Sean Shaw, Jeffrey Marc Siskind ",
Chief Financial Officer,,,Chief Financial Officer,Chief Financial Officer (Vote for One),Office of Chief Finan Off,1,1,"Jimmy Patronis, Jeremy Ring  ",
Commissioner of Agriculture,,,Commissioner of Agriculture,Commissioner of Agriculture (Vote for One),Office of Comm of Agri,1,0,"Matt Caldwell, Nicole ""Nikki"" Fried ",
Justice of the Supreme Court ,,,Justice of the Supreme Court,Justice of the Supreme Court,Office of Sup Crt,1,0,"Yes, No ","Shall Justice Alan Lawson of the Supreme
Court be retained in office?"
First District Court of Appeal Judge Harvey Jay,,,First District Court of Appeal,District Court of Appeal,Office of Dist Crt - Harvey Jay,1,0,"Yes, No ","Shall Judge Harvey Jay of the First District
Court of Appeal be retained in office"
First District Court of Appeal Judge Stephanie Ray,,,First District Court of Appeal,,Office of Dist Crt - Stephanie Ray,1,0,"Yes, No ","Shall Judge Stephanie Ray of the First
District Court of Appeal be retained in office"
First District Court of Appeal Judge Brad Thomas,,,First District Court of Appeal,,Office of Dist Crt - Brad Thomas,1,0,"Yes, No ","Shall Judge Brad Thomas of the First
District Court of Appeal be retained in office"
First District Court of Appeal Judge Kemmerly Thomas,,,First District Court of Appeal,,Office of Dist Crt - Kemmerly Thomas,1,0,"Yes, No ","Shall Judge Kemmerly Thomas of the First
District Court of Appeal be retained in office"
First District Court of Appeal Judge Allen Winsor,,,First District Court of Appeal,,Office of Dist Crt - Allen Winsor,1,0,"Yes, No ","Shall Judge Allen Winsor of the First District
Court of Appeal be retained in office?"
"Circuit Judge, 2nd Circuit, Group 12",,,"Circuit Judge, 2nd Circuit, Group 12 (70220)","Circuit Judge, 2nd Circuit, Group 12 (Vote for One)",Office of Cir Judge - Cir 2 - Grp 12,1,0,"Lisa Barclay Fountain, David Frank ",
County Commissioner District 1,,,County Commissioner District 1,Board of County Commissioners District 1 (Vote for One),,1,0,"Jasmine Ali, Bill Proctor",
Sch Bd - D 1,,2,,School Board District 1 (Vote for One),,1,0,"Ricky Bell, Alva Striplin",
Sch Bd - D 3,,2,,School Board District 3 (Vote for One),,1,0,"Darryl Jones, Maggie B. Lewis-Butler",
Mayor,1,,Mayor,Mayor (Vote for One),Office of Mayor,1,0,"John Dailey, Dustin R. Daniels",
City Commissioner Seat 3,1,,City Commissioner Seat 3,City Commissioner Seat 3 (Vote for One),Office of City Comm - S 3,1,0,"Lisa Brown, Jeremy Matlow",
City Commissioner Seat 5,1,,City Commissioner Seat 5,City Commissioner Seat 5 (Vote for One),Office of City Comm - S 5,1,0,"Bob Lotane, Dianne Williams-Cox",
Soil & Water - D 2,,3,Soil & Water - D 2,Leon Soil and Water Conservation District 2 (Vote for One),Office of Soil & Water - D 2,1,0,"Cara Fleischer, John W. Hedrick, Will Henry",
Soil & Water - D 4,,3,Soil & Water - D 4,Leon Soil and Water Conservation District 4 (Vote for One),Office of Soil & Water - D 4,1,0,"Bill Helmich, Brian Lee",
Capital Region CDD Seat 1,1,,Capital Region Community Dev District Seat 1,Capital Region Community Development District Seat 1 (Vote for One),Capital Region Community Dev District Seat 1,1,0,"Sam P. Burns, April Johnston",
Capital Region CDD Seat 3,1,,Capital Region Community Dev District Seat 3,Capital Region Community Development District Seat 3 (Vote for One),Capital Region Community Dev District Seat 3,1,0,"Michael T. Glantz, L. Kyle Rojas",
Piney-Z CDD Seat 1,2,,Piney-Z CDD Seat 1,Piney-Z Community Development District Seat 1 (Vote for One),Piney-Z Community Dev District Seat 1,1,0,"Bill Groover, Ann Pincus",
Piney-Z CDD Seat 3,2,,Piney-Z CDD Seat 3,Piney-Z Community Development District Seat 3 (Vote for One),Piney-Z Community Dev District Seat 3,1,0,"Cheryl Hudson, David L. Robertson",
Piney-Z CDD Seat 5,2,,Piney-Z CDD Seat 5,Piney-Z Community Development District Seat 5 (Vote for One),Piney-Z Community Dev District Seat 5,1,0,"Richard Kessler, Philip Wilcox",
No. 1 Constitutional Amendment,,,No. 1 Constitutional Amendment,"No. 1 Constitutional Amendment
Article VII, Section 6, 
Article XII, Section 37
(Vote for One)
",Office of 1 - Amend - Homestead Prop Tax,1,0,"Yes, No ","Increased Homestead Property Tax
Exemption
Proposing an amendment to the State
Constitution to increase the homestead 
exemption by exempting the assessed 
valuation of homestead property greater 
than $100,000 and up to $125,000 for all 
levies other than school district levies. The
amendment shall take effect January 1, 2019."
No. 2 Constitutional Amendment,,,No. 2 Constitutional Amendment,"No. 2 Constitutional Amendment
Article XII, Section 27
(Vote for One)
",Office of 2 - Amend - Prop Tax Assess,1,0,"Yes, No ","Limitations on Property Tax Assessments
Proposing an amendment to the State
Constitution to permanently retain provisions
currently in effect, which limit property tax
assessment increases on specified
nonhomestead real property, except for
school district taxes, to 10 percent each
year. If approved, the amendment removes
the scheduled repeal of such provisions in
2019 and shall take effect January 1, 2019."
No. 3 Constitutional Amendment,,,No. 3 Constitutional Amendment,"No. 3 Constitutional Amendment
Article X, Section 29
(Vote for One)
",Office of 3 - Amend - Voter Ctrl of Gambling,1,0,"Yes, No ","Voter Control of Gambling in Florida
This amendment ensures that Florida voters 
shall have the exclusive right to decide 
whether to authorize casino gambling by 
requiring that in order for casino gambling to 
be authorized under Florida law, it must be approved by Florida voters pursuant to 
Article XI, Section 3 of the Florida 
Constitution. Affects articles X and XI. 
Defines casino gambling and clarifies that this amendment does not conflict with federal 
law regarding state/tribal compacts. 

The amendment's impact on state and local
government revenues and costs, if any,
cannot be determined at this time because
of its unknown effect on gambling
operations that have not been approved by
voters through a constitutional amendment
proposed by a citizens' initiative petition
process."
