party,precinct,card_code,style_num
Republican Party,101,11011,1
Republican Party,102,11021,1
Republican Party,103,11031,1
Republican Party,135,11351,1
Republican Party,139,11391,1
Republican Party,141,11411,1
Republican Party,142,11421,1
Republican Party,144,11441,1
Republican Party,155,11551,1
Republican Party,156,11561,1
Republican Party,159,11591,1
Republican Party,189,11891,1
Republican Party,190,11901,1
Republican Party,193,11931,1
Republican Party,194,11941,1
Republican Party,202,12021,1
Republican Party,203,12031,1
Republican Party,204,12041,1
Republican Party,222,12221,1
Republican Party,223,12231,1
Republican Party,242,12421,1
Republican Party,251,12511,1
Republican Party,252,12521,1
Republican Party,255,12551,1
Republican Party,257,12571,1
Republican Party,258,12581,1
Republican Party,303,13031,1
Republican Party,304,13041,1
Republican Party,310,13101,1
Republican Party,313,13131,1
Republican Party,315,13151,1
Republican Party,317,13171,1
Republican Party,322,13221,1
Republican Party,323,13231,1
Republican Party,324,13241,1
Republican Party,332,13321,1
Republican Party,414,14141,1
Republican Party,416,14161,3
Republican Party,418,14181,1
Republican Party,428,14281,1
Republican Party,430,14301,1
Republican Party,431,14311,1
Republican Party,434,14341,1
Republican Party,438,14381,1
Republican Party,440,14401,1
Republican Party,450,14501,1
Republican Party,462,14621,3
Republican Party,464,14641,3
Republican Party,472,14721,3
Republican Party,475,14751,3
Republican Party,477,14771,3
Republican Party,479,14791,3
Republican Party,502,15021,1
Republican Party,550,15501,1
Republican Party,551,15511,1
Republican Party,552,15521,1
Republican Party,554,15541,1
Republican Party,590,15901,1
Republican Party,591,15911,1
Republican Party,593,15931,1
Republican Party,594,15941,1
Democratic Party,101,21011,2
Democratic Party,102,21021,2
Democratic Party,103,21031,2
Democratic Party,135,21351,2
Democratic Party,139,21391,2
Democratic Party,141,21411,2
Democratic Party,142,21421,2
Democratic Party,144,21441,2
Democratic Party,155,21551,2
Democratic Party,156,21561,2
Democratic Party,159,21591,2
Democratic Party,189,21891,2
Democratic Party,190,21901,2
Democratic Party,193,21931,2
Democratic Party,194,21941,2
Democratic Party,202,22021,2
Democratic Party,203,22031,2
Democratic Party,204,22041,2
Democratic Party,222,22221,2
Democratic Party,223,22231,2
Democratic Party,242,22421,2
Democratic Party,251,22511,2
Democratic Party,252,22521,2
Democratic Party,255,22551,2
Democratic Party,257,22571,2
Democratic Party,258,22581,2
Democratic Party,303,23031,2
Democratic Party,304,23041,2
Democratic Party,310,23101,2
Democratic Party,313,23131,2
Democratic Party,315,23151,2
Democratic Party,317,23171,2
Democratic Party,322,23221,2
Democratic Party,323,23231,2
Democratic Party,324,23241,2
Democratic Party,332,23321,2
Democratic Party,414,24141,2
Democratic Party,416,24161,4
Democratic Party,418,24181,2
Democratic Party,428,24281,2
Democratic Party,430,24301,2
Democratic Party,431,24311,2
Democratic Party,434,24341,2
Democratic Party,438,24381,2
Democratic Party,440,24401,2
Democratic Party,450,24501,2
Democratic Party,462,24621,4
Democratic Party,464,24641,4
Democratic Party,472,24721,4
Democratic Party,475,24751,4
Democratic Party,477,24771,4
Democratic Party,479,24791,4
Democratic Party,502,25021,2
Democratic Party,550,25501,2
Democratic Party,551,25511,2
Democratic Party,552,25521,2
Democratic Party,554,25541,2
Democratic Party,590,25901,2
Democratic Party,591,25911,2
Democratic Party,593,25931,2
Democratic Party,594,25941,2
Nonpartisan,416,34161,5
Nonpartisan,462,34621,5
Nonpartisan,464,34641,5
Nonpartisan,472,34721,5
Nonpartisan,475,34751,5
Nonpartisan,477,34771,5
Nonpartisan,479,34791,5
