argument,value,comment,
source,R:\BallotImageArchive\WI_Dane_2019_Spring\2019_Spring_Election_Ballot_Images1.zip,,
source,R:\BallotImageArchive\WI_Dane_2019_Spring\2019_Spring_Election_Ballot_Images2.zip,,
source,R:\BallotImageArchive\WI_Dane_2019_Spring\2019_Spring_Election_Ballot_Images3.zip,,
source,R:\BallotImageArchive\WI_Dane_2019_Spring\2019_Spring_Election_Ballot_Images4.zip,,
source,R:\BallotImageArchive\WI_Dane_2019_Spring\2019_Spring_Election_Ballot_Images5.zip,,
job,resources/Dane2019-38,,
job_name,Dane2019-38,,
cvr,R:\BallotImageArchive\WI_Dane_2019_Spring\2019 Spring Election Cast Vote RecordsA.xlsx,,
cvr,R:\BallotImageArchive\WI_Dane_2019_Spring\2019 Spring Election Cast Vote RecordsA-1.xlsx,,
eif,EIFs/EIF_Dane_2019_Spring_Election.xlsx,,
#threshold,200,,
check_ballots,No,,
allow_style_from_cvr,Yes,,
initial_cvr_cols,Cast Vote Record,,
initial_cvr_cols,Precinct,,
initial_cvr_cols,Ballot Style,,
question_contests_have_no_contest_name,Yes,,
include_bmd_ballot_type,Yes,,
include_nonbmd_ballot_type,Yes,,
save_mark_images,No,,
incremental_gentemplate,Yes,,
maprois_max_slip_os,10,,
save_checkpoint_images,Yes,,
incremental_extraction,Yes,,
use_lambdas,No,,
ballot_style_override,"""144104"",""191""",reads the barcode as 251 instead of 191,
style_map_override,"53,""Montrose Town Clerk"",20",,
style_map_override,"87,""Vienna Town Board Chairperson"",11",,
expressvote_header,"DANE COUNTY/WISCONSIN,2019 SPRING ELECTION,04/02/2019",,
reviewed,"139532,""Sun Prairie Alderperson District 2"",undervote",Audit Incorrect,"writein ""anyone but conners"" interpreted as conners"
reviewed,"139687,""Sun Prairie Schl. Dist. Ref Q2 re: exceed revenue limit"",Yes",Audit Correct,
reviewed,"132288,all contests",Audit Incorrect,Mystery
reviewed,"143137,all contests",Audit Incorrect,Mystery
reviewed,"151913,""Fitchburg Alderperson District 2 Seat 3"",Patrick C. Stern",Audit Incorrect,crease causes overvote
reviewed,"152827,""Madison Metropolitan Board Member Seat 3"",Kaleem Caire",Audit Incorrect,stretched ballot
reviewed,"154116,""Windsor Village President"",Robert E. Wipperfurth",Audit Correct,
reviewed,"154237,""DeForest School Board Member Village of Windsor (2)"",(Steve Tenpas,Keri Brunelle)",Audit Correct,
reviewed,"155250,all contests",Audit Incorrect,bottom line?
reviewed,"155853,""Circuit Court Judge Branch 16"",Rhonda L. Lanford",Audit Correct,
reviewed,"156549,""Waunakee School Board Member Village of Waunakee (2)"",(David Boetcher,Jack A. Heinemann)",Audit Correct,
reviewed,"159265,""Circuit Court Judge Branch 16"",Rhonda L. Lanford",Audit Correct,very light voter
reviewed,"160410,all contests should be blank",Audit Incorrect,blank ballot misleads adaptive algorithm
reviewed,"162365,Mount Horeb Village Trustee (3),(Brent D. Yauchler,Thomas C. Orshall,Jason R. Fendrick)",Audit Correct,
reviewed,"163194,""Court of Appeals Judge District IV"",Jennifer Nashold",Audit Correct,
reviewed,"163489,""Justice of the Supreme Court"",Lisa Neubauer",Audit Correct,hesitation mark
reviewed,"164684,""McFarland School Board Member (2)"",Christine M. Pribbenow",Audit Incorrect,crease
reviewed,"165697,""Justice of the Supreme Court"",Brian Hagedorn",Audit Correct,
reviewed,"166212,""Mazomanie Village Trustee (3)"",(Scott Mickelson,Jeff Dyreson)",Audit Correct,
reviewed,"168340,""Justice of the Supreme Court"",Brian Hagedorn",Audit Correct,
reviewed,"168452,""DeForest School Dist. Ref Q2 re: exceed revenue limit"",No",Audit Correct,
reviewed,"168587,""DeForest Village President"",undervote",Audit Correct,
reviewed,"168945,""DeForest Village President"",undervote",Audit Incorrect,crease
reviewed,"170708,""DeForest Village President"", Judd Blau",Audit Incorrect,crease
reviewed,"170813,""DeForest Village Trustee (3)"",undervote",Audit Incorrect,crease
reviewed,"171606,""Circuit Court Judge Branch 16"",Rhonda L. Lanford",Audit Correct,
reviewed,"172289,""Middleton Cross Plains School Board Member Area III"",Minza Karim",Audit Correct,
reviewed,"172967,""Cambridge Village President"",undervote",Audit Incorrect,crease on blank ballot
reviewed,"174343,""Circuit Court Judge Branch 16"",Rhonda L. Lanford",Audit Correct,
reviewed,"177674,""Springfield Town Board Chairperson"",undervote",Audit Incorrect,Hesitation mark too light and different from others for Jim Pulvermacher
reviewed,"177982,""Court of Appeals Judge District IV"",Jennifer Nashold",Audit Correct,
reviewed,"179201,""Pleasant Springs Town Board Supervisor 1"",Douglas Larsson",Audit Correct,voter has hard time making marks
reviewed,"179430,two contests",Audit Incorrect,stretched ballot at the bottom compensation causes all marks to get off.
reviewed,"180274,""Justice of the Supreme Court"",Lisa Neubauer",Audit Correct,hesitation mark unlike all other marks
reviewed,"180477,""Montrose Town Board Supervisor 1"",Randle Francois",Audit Correct,
reviewed,"181008,all contests",Audit Incorrect,stretched ballot at the bottom compensation causes all marks to get off.
reviewed,"181578,""Justice of the Supreme Court"",Lisa Neubauer",Audit Correct,
reviewed,"183133,""Wisconsin Heights School Board Member (2)"",(Mike Wagner,Barb Statz)",Audit Correct,
reviewed,"186998,""Cottage Grove Municipal Judge"",Overvote","Difficult, darker bubble could be strike out.",
reviewed,"187523,""Cottage Grove Municipal Judge"",Sheryl K. Albers-Anders",Audit Correct,
reviewed,"187559,""Deerfield School Board Member (2)"",(Tom Bush,Lisa Sigurslid)",Audit Correct,
reviewed,"189675,""Justice of the Supreme Court"",Lisa Neubauer",Audit Correct,
reviewed,"194152,""Monona Alderperson (3)"",(Kathy Thomas,Nancy Moore,Doug Wood)",Audit Correct,
reviewed,"194800,""Monona Alderperson (3)"",(Kathy Thomas,Nancy Moore,Doug Wood)",Audit Correct,
reviewed,"195596,""Sun Prairie School Board Member (3)"",(David Hoekstra,Caren Diedrich)",Audit Incorrect,crease
reviewed,"196634,""Fitchburg Alderperson District 3 Seat 5"",Sarah Schroeder",Audit Correct,
reviewed,"197845,""Fitchburg Alderperson District 1 Seat 2 (1-year term)"",Anne Scott",Audit Incorrect,No explanation!
reviewed,"201917,""Oregon Town Board Chairperson"",undervote",Audit Correct,hesitation mark unlike all other marks
reviewed,"202609,""Stoughton School Board Member (3)"",(Joe Freye,Shawn Rundblade,Shawn Rundblade)",Audit Correct,Very small mark in writein bubble
